[ERROR] Subfinder failed for 
[ERROR] HTTPX failed for 
[ERROR] Gau failed for 
[ERROR] Nuclei failed for 
[ERROR] Arjun failed for 
[ERROR] Dalfox failed for 
[ERROR] GetJS failed for 
[ERROR] ParamSpider failed for 
[ERROR] Nuclei S3 detection failed for 
[ERROR] Subfinder failed for 
[ERROR] Subfinder failed for viatorinc.com
[ERROR] HTTPX failed for viatorinc.com
[ERROR] Gau failed for viatorinc.com
[ERROR] Nuclei failed for viatorinc.com
[ERROR] Dalfox failed for viatorinc.com
[ERROR] GetJS failed for viatorinc.com
[ERROR] Nuclei S3 detection failed for viatorinc.com
[ERROR] Nuclei failed for viatorinc.com
[ERROR] Arjun failed for viatorinc.com
[ERROR] Dalfox failed for viatorinc.com
[ERROR] HTTPX failed for wu
[ERROR] Nuclei failed for wu
[ERROR] Arjun failed for wu
[ERROR] TLD list file not found: /home/dnl/Documents/projects/bughunt/tld_list.txt
[ERROR] Nuclei failed for viatorinc.com
[ERROR] Arjun failed for viatorinc.com
[ERROR] Dalfox failed for viatorinc.com
[ERROR] GetJS failed for viatorinc.com
[ERROR] ParamSpider failed for viatorinc.com
[ERROR] Nuclei S3 detection failed for viatorinc.com
[ERROR] Nuclei failed for wu
[ERROR] Arjun failed for wu
[ERROR] Dalfox failed for wu
[ERROR] GetJS failed for wu
[ERROR] ParamSpider failed for wu
[ERROR] Nuclei S3 detection failed for wu
[ERROR] Dalfox failed for wu.net
[ERROR] GetJS failed for wu.net
[ERROR] ParamSpider failed for wu.net
[ERROR] Nuclei failed for transferwise.com
[ERROR] Arjun failed for transferwise.com
[ERROR] Dalfox failed for transferwise.com
[ERROR] GetJS failed for transferwise.com
[ERROR] ParamSpider failed for transferwise.com
[ERROR] Gau failed for wu.com
[ERROR] Nuclei failed for wu.com
[ERROR] Arjun failed for wu.com
[ERROR] Dalfox failed for wu.com
[ERROR] Subfinder failed for wu.com
[ERROR] HTTPX failed for wu.com
[ERROR] Gau failed for wu.com
[ERROR] Nuclei failed for wu.com
[ERROR] Arjun failed for wu.com
[ERROR] Dalfox failed for wu.com
[ERROR] GetJS failed for wu.com
[ERROR] ParamSpider failed for wu.com
[ERROR] Nuclei S3 detection failed for wu.com
[ERROR] Gau failed for wu.com
[ERROR] Nuclei failed for wu.com
[ERROR] Arjun failed for wu.com
